Sales,TV,Newspaper,Radio,Internet
31546.555,781.41,292.82,797.41,586.41
44888.1225,1008.82,120.59,930.82,1051.82
53728.8125,1532.23,102.59,1174.23,1059.23
52571.2625,1003.29,584.94,1220.29,1088.29
31163.1675,1264.88,276.59,1518.88,1110.88
28638.37,1228.29,485.29,927.29,1114.29
56519.555,1398.94,36.35,1442.94,1077.94
33887.1275,870.71,459.65,841.71,868.71
53805.2525,464.7,321.29,776.7,680.7
50713.1925,1246,279.65,1145,865
56532.895,1385.65,360.12,1181.65,1329.65
45560.1675,885.12,239.88,762.12,793.12
53770.3575,1528.47,75.06,1109.47,1308.47
46213.6675,1214.41,157.29,1222.41,1014.41
44584.78,1352.06,487.06,1335.06,1170.06
45740.075,1164.53,430.82,985.53,813.53
35214.315,1227,362.82,1322,992
52532.87,1024.53,315.41,913.53,885.53
30711.3975,191.88,577.65,457.88,304.88
43434.45,605.53,518.65,243.53,397.53
29089.0775,612.18,706.94,710.18,448.18
46897.0125,643.41,335.41,746.41,475.41
39208.3175,623.53,570.53,373.53,430.53
46342.995,707.88,565.88,544.88,677.88
46529.6975,218.41,323.41,364.41,128.41
51973.2325,631.24,310.24,691.24,442.24
53102.44,524.06,379.06,637.06,508.06
45557.15,575.35,608.35,652.35,682.35
52000.91,705.41,708.41,703.41,794.41
73234.32,850.65,752.65,803.65,689.65
46628.25,426.53,450.53,266.53,388.53
70267.12,733.65,442.65,664.65,345.65
72432.9,887.06,664.06,544.06,479.06
49270.22,783.53,754.53,802.53,797.53
43667.94,352.53,342.53,443.53,369.53
39617.59,944.41,540.41,817.41,800.41
70102.19,556.24,463.24,644.24,588.24
64512.44,222.53,406.53,348.53,458.53
41091.12,612.41,357.41,515.41,442.41
45645.78,542.41,466.41,817.41,518.41
47789,615.94,736.94,640.94,772.94
65665.41,446.76,407.76,473.76,536.76
71812.56,711,412,608,587
48290.37,932.82,745.82,639.82,562.82
67633,229.53,197.53,417.53,65.53
48254.56,440,198,545,417
70511.29,711.65,536.65,715.65,540.65
47600.87,610.41,426.41,652.41,413.41
51945.54,1578.71,1527.71,1876.71,1659.71
60936,1098.43,662.43,858.43,906.43
70417.39,1530.57,1632.57,1545.57,1654.57
50786.86,565.57,337.57,506.57,286.57
50725.54,384.29,217.29,232.29,113.29
71056.5,1123.86,1119.86,1131.86,1241.86
68551.64,551.86,357.86,454.86,623.86
53463.5,1037,809,872,907
58468.89,1548,1268,1484,1288
73330.68,1521.86,1625.86,1705.86,1457.86
54398.96,1122.14,722.14,913.14,976.14
68664.75,1272.14,1238.14,1255.14,1158.14
67126.21,460.29,551.29,744.29,627.29
67494.93,1120.29,1042.29,1157.29,1067.29
51099.82,669.14,399.14,494.14,505.14
60871.96,1433,1144,1314,1351
62251.04,1645,1371,1451,1465
50934.07,1600.71,1534.71,1532.71,1478.71
46510.36,1084.14,863.14,870.14,744.14
66894.18,1637.43,1323.43,1303.43,1430.43
59187.54,861.86,650.86,851.86,795.86
57268,1041,713,1062,821
45780.79,1244.43,1123.43,1276.43,993.43
73939.57,339.14,164.14,371.14,100.14
60270.82,1718.14,1485.14,1723.14,1620.14
46890.07,856.14,773.14,778.14,780.14
44236.75,1413.57,1123.57,1348.57,1227.57
41160.36,982.29,810.29,841.29,953.29
51957.39,291.43,236.43,291.43,394.43
65438.07,1274.43,1076.43,1247.43,1182.43
73706.71,707.71,547.71,831.71,571.71
42253.54,327.14,327.14,368.14,232.14
71882.18,497.29,426.29,542.29,577.29
69876.18,933,488,596,564
58461.19,616.18,336.18,728.18,605.18
42828.87,494.41,404.41,520.41,414.41
65681.91,673.47,355.47,595.47,342.47
39475.13,549.47,264.47,405.47,480.47
66266.84,889.12,569.12,660.12,872.12
50623.97,290.65,422.65,540.65,391.65
54041.07,706.41,604.41,745.41,668.41
47321.12,737.41,511.41,686.41,467.41
46307.96,714.65,493.65,554.65,283.65
53641.94,1023.76,768.76,911.76,831.76
39088.57,577.12,519.12,644.12,604.12
58232.03,238.88,300.88,273.88,361.88
71507.06,829.06,667.06,730.06,551.06
46958.1,560.18,300.18,529.18,420.18
58930.43,659.06,407.06,340.06,293.06
40255.03,613.71,466.71,660.71,639.71
75119.37,530.88,587.88,648.88,375.88
50051,237.53,304.53,431.53,338.53
47107.28,812.65,803.65,683.65,741.65
50482.56,646.71,463.71,286.71,323.71
47121.59,960.35,683.35,669.35,592.35
38160.76,671.47,619.47,952.47,668.47
58203.91,681.35,506.35,659.35,624.35
50223.22,510.18,498.18,410.18,416.18
62339.21,669.24,510.24,518.24,421.24
70868.76,714.35,748.35,752.35,699.35
69662.28,824.59,560.59,544.59,510.59
48225.29,902.06,815.06,984.06,751.06
46033.37,777.88,500.88,514.88,569.88
67391.49,515.06,291.06,516.06,141.06
63870.26,419.65,389.65,296.65,332.65
39932.43,760.71,678.71,764.71,769.71
65432.74,468.29,536.29,628.29,592.29
74473.16,882.47,674.47,640.47,890.47
46658.99,664.53,431.53,569.53,352.53
38216.21,568.53,340.53,548.53,469.53
73015.51,390.82,389.82,240.82,238.82
60899.06,613.53,576.53,710.53,313.53
39795.74,263.12,353.12,412.12,348.12
71046.68,627.35,382.35,557.35,350.35
46919.97,570.35,711.35,730.35,735.35
39699.51,693.94,505.94,738.94,504.94
64151.78,531.29,490.29,669.29,454.29
40008.18,632,586,743,618
63342.4,410.12,194.12,420.12,469.12
63841.01,411.53,341.53,153.53,215.53
54071.12,471.29,238.29,472.29,208.29
53119.93,499.41,290.41,211.41,363.41
65602.74,520.47,400.47,647.47,351.47
69357.59,913.06,509.06,553.06,514.06
42929.37,510.59,530.59,487.59,526.59
43360.49,834.35,409.35,585.35,413.35
64218.97,501.06,468.06,479.06,251.06
55508.47,411.76,242.76,384.76,207.76
68853.72,836.24,667.24,861.24,638.24
